"filename", "language", "Vue", "JavaScript", "SCSS", "CSS", "JSON", "XML", "HTML", "comment", "blank", "total"
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\Login.vue", "Vue", 188, 0, 0, 0, 0, 0, 0, 6, 13, 207
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\course\list.vue", "Vue", 6, 0, 0, 0, 0, 0, 0, 1, 5, 12
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\course\table.vue", "Vue", 6, 0, 0, 0, 0, 0, 0, 1, 5, 12
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\course\type.vue", "Vue", 6, 0, 0, 0, 0, 0, 0, 1, 5, 12
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\evaluationSet\template.vue", "Vue", 355, 0, 0, 0, 0, 0, 0, 51, 25, 431
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\evaluation\record.vue", "Vue", 568, 0, 0, 0, 0, 0, 0, 42, 31, 641
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\system\sysLog\list.vue", "Vue", 8, 0, 0, 0, 0, 0, 0, 1, 5, 14
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\system\sysMenu\list.vue", "Vue", 339, 0, 0, 0, 0, 0, 0, 39, 21, 399
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\system\sysRole\assignPerm.vue", "Vue", 85, 0, 0, 0, 0, 0, 0, 19, 11, 115
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\system\sysRole\list.vue", "Vue", 281, 0, 0, 0, 0, 0, 0, 38, 20, 339
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\system\sysUser\list.vue", "Vue", 703, 0, 0, 0, 0, 0, 0, 105, 37, 845
"Total", "-", 3692, 716, 72, 454, 23, 1, 211, 855, 548, 6572
